UniprotID,Gene_Name,TDL,Biomacromolecule,IDG_Family,IC_Family,IC_Subfamily,IC_Sub-subfamily,IC_protein,TransporterProtein_Type,Gating_Mechanism,Ion_Type,Transported_ion,Topology,Quaternary_Organization,Transmembrane_Regions,Membrane_Topological_Regions,Intramembrane_Regions,NumberOfPfamADomains
P46098,HTR3A,Tclin+,protein,ion channel,"neurotransmitter receptor, Cys loop, ligand-gated ion channel (LIC) family",5-hydroxytryptamine receptor subfamily,5-HT3 receptor sub-subfamily,5-hydroxytryptamine receptor 3a,ion channel,ligand-gated,cation channel,potassium,multi-pass membrane protein,bimeric,4,5,0,2
O95264,HTR3B,Tclin,protein,ion channel,"neurotransmitter receptor, Cys loop, ligand-gated ion channel (LIC) family",5-hydroxytryptamine receptor subfamily,5-HT3 receptor sub-subfamily,5-hydroxytryptamine receptor 3b,ion channel,ligand-gated,cation channel,cation,multi-pass membrane protein,heteromeric,4,5,0,2
Q8WXA8,HTR3C,Tclin,protein,ion channel,"neurotransmitter receptor, Cys loop, ligand-gated ion channel (LIC) family",5-hydroxytryptamine receptor subfamily,5-HT3 receptor sub-subfamily,5-hydroxytryptamine receptor 3c,ion channel,ligand-gated,cation channel,cation,multi-pass membrane protein,heteromeric,4,5,0,2
Q70Z44,HTR3D,Tclin,protein,ion channel,"neurotransmitter receptor, Cys loop, ligand-gated ion channel (LIC) family",5-hydroxytryptamine receptor subfamily,5-HT3 receptor sub-subfamily,5-hydroxytryptamine receptor 3d,ion channel,ligand-gated,cation channel,cation,multi-pass membrane protein,heteromeric,4,5,0,2
A5X5Y0,HTR3E,Tclin,protein,ion channel,"neurotransmitter receptor, Cys loop, ligand-gated ion channel (LIC) family",5-hydroxytryptamine receptor subfamily,5-HT3 receptor sub-subfamily,5-hydroxytryptamine receptor 3e,ion channel,ligand-gated,cation channel,cation,multi-pass membrane protein,heteromeric,4,5,0,1
P78348,ASIC1,Tclin,protein,ion channel,amiloride-sensitive sodium channel family,acid-sensing ion channel 1 (ASIC1) subfamily,,acid-sensing ion channel 1,ion channel,ligand-gated,cation channel,"calcium, potassium, sodium",multi-pass membrane protein,homomeric,2,3,0,1
Q16515,ASIC2,Tmacro,protein,ion channel,amiloride-sensitive sodium channel family,acid-sensing ion channel 2 (ASIC2) subfamily,,acid-sensing ion channel 2,ion channel,ligand-gated,cation channel,sodium,multi-pass membrane protein,homomeric,2,3,0,1
Q9UHC3,ASIC3,Tclin,protein,ion channel,amiloride-sensitive sodium channel family,acid-sensing ion channel 3 (ASIC3) subfamily,,acid-sensing ion channel 3,ion channel,ligand-gated,cation channel,sodium,multi-pass membrane protein,homomeric,2,3,0,1
Q96FT7,ASIC4,Tgray,protein,ion channel,amiloride-sensitive sodium channel family,acid-sensing ion channel 4 (ASIC4) subfamily,,acid-sensing ion channel 4,ion channel,ligand-gated,cation channel,sodium,multi-pass membrane protein,homomeric,2,3,0,1
Q9NY37,ASIC5,Tmacro,protein,ion channel,amiloride-sensitive sodium channel family,acid-sensing ion channel 5 (ASIC5) subfamily,,acid-sensing ion channel 5,ion channel,ligand-gated,cation channel,sodium,multi-pass membrane protein,homomeric,2,3,0,1
Q5XXA6,ANO1,Tclin,protein,ion channel,calcium-dependent chloride channel (ca-clc) family,,,Anoctamin-1,ion channel,,anion channel,chloride,multi-pass membrane protein,homomeric,8,9,0,1
Q9NQ90,ANO2,Tmacro,protein,ion channel,calcium-dependent chloride channel (ca-clc) family,,,Anoctamin-2,ion channel,,anion channel,chloride,multi-pass membrane protein,heteromeric,8,9,0,1
